1,林风,宿舍内,唔，我刚刚要去找什么来着……,,林风3
2,主角,宿舍内,,复制的课本。,
3,林风,宿舍内,没错！但是我忘记放在哪里了……,,林风3
4,主角,宿舍内,,你的记忆力好差……,PC3
5,林风,宿舍内,哦，是因为指令的副作用。,,林风3
6,主角,宿舍内,,指令的副作用？,
8,主角,宿舍内,（通知书上不是说不能在校园滥用指令吗……）,,PC5
13,主角,宿舍内,"（毕竟指令连续多次或超负荷使用会引发失序啊。）",,PC5
15,林风,宿舍内,我的指令是Crtl+C，Crtl+V，可以复制粘贴实体。,,
16,林风,宿舍内,但连续多次使用或者复制体过于复杂的话会出现不同程度的失忆。,,
17,林风,宿舍内,怎么开学第一天就犯这毛病……我都感觉我要失序了。,,林风3
18,主角,宿舍内,（能把这种事当玩笑随意说出来还真是可怕啊。）,,PC2
19,林风,宿舍内,不过还是别学我，指令最好少用。,,
20,林风,宿舍内,听说当失序累积到一定值就会变成怪物哦。,,林风8
22,弗洛,宿舍内,……日常生活中正常使用指令是不会引发失序的。,,弗洛6
23,林风,宿舍内,没错，也不要害怕！,,林风4
24,林风,宿舍内,怪物什么的都是骗小孩子的伎俩。,,
25,林风,宿舍内,我们都是大学生了！,,林风4
26,弗洛,宿舍内,……,,弗洛6
27,主角,宿舍内,,所以，你想起复制的课本放到哪里了吗？,
28,林风,宿舍内,没有……,,林风3
29,主角,宿舍内,,我来帮你一起找吧。,
30,主角,宿舍内,,你想想刚刚都去哪里了。,
31,林风,宿舍内,让我想想……,,林风3
