ID,TriggerType,Condition,DialogueFile,Type,TimeLimit
NightTip,Multi,时间.==.22:00;场景.Dormitory Scene.==.0,NightTip,Repeatable,
3333,Multi,时间.>=.9月4日22:30;场景.Dormitory Scene.==.1,3333,,9月4日
Semester_01,Multi,时间.==.9月5日7:02;场景.Dormitory Scene.==.1,Semester_01,,9月5日
Semester_04_2,Multi,时间.>=.9月5日11:30;场景.Canteen Scene.==.1,Semester_04_2,,9月5日
Semester_05,Multi,时间.>=.9月5日13:00;时间.<.9月5日14:00;场景.Dormitory Scene.==.1,Semester_05,,9月5日
Semester_05_1,Multi,时间.==.9月5日14:00;场景.Dormitory Scene.==.1,Semester_05_1,,9月5日
Semester_06_2,Multi,时间.>=.9月5日16:00;剧情.Semester_06_1.==.0;场景.Dormitory Scene.==.1,Semester_06_2,,9月5日
Semester_07,Multi,时间.==.9月6日7:10;场景.Dormitory Scene.==.1,Semester_07,,9月6日
Semester_sx_01,Multi,时间.==.9月24日7:10;场景.Classroom Scene.==.1,Semester_sx_01,,9月24日
Semester_sx_03,Multi,时间.==.9月26日7:10;场景.Classroom Scene.==.1,Semester_sx_03,,9月26日
Semester_sx_05,Multi,时间.>=.10月1日7:10;场景.ClassHallWay Scene.==.1,Semester_sx_05,,10月1日
Semester_sx_06,Multi,时间.>=.10月21日7:10;Dormitory Scene.==.1,Semester_sx_06,,10月21日
Semester_sx_06_1,Multi,时间.>=.10月21日7:40;时间.<.10月21日8:00;场景.Classroom Scene.==.1,Semester_sx_06_1,,10月21日
